Created Date,Closed Date,Duration,Location Type,Incident Zip,City,Borough,Latitude,Longitude
2015-12-31 0:01:15,2015-12-31 3:48:04,3:46,Store/Commercial,10034,NEW YORK,MANHATTAN,40.86618344,-73.91893043
2015-12-31 0:02:48,2015-12-31 4:36:13,4:33,Store/Commercial,10040,NEW YORK,MANHATTAN,40.85932419,-73.93123734
2015-12-31 0:03:25,2015-12-31 0:40:15,0:36,Residential Building/House,10026,NEW YORK,MANHATTAN,40.79941541,-73.95337117
2015-12-31 0:03:26,2015-12-31 1:53:38,1:50,Residential Building/House,11231,BROOKLYN,BROOKLYN,40.67828511,-73.99466779
2015-12-31 0:05:10,2015-12-31 3:49:10,3:44,Residential Building/House,10033,NEW YORK,MANHATTAN,40.85030372,-73.93851563
2015-12-31 0:08:05,2015-12-31 1:59:12,1:51,Residential Building/House,10467,BRONX,BRONX,40.85874768,-73.86562454
2015-12-31 0:11:40,2015-12-31 6:24:00,6:12,Residential Building/House,11230,BROOKLYN,BROOKLYN,40.61700536,-73.95692046
2015-12-31 0:12:13,2015-12-31 0:38:09,0:25,Residential Building/House,11215,BROOKLYN,BROOKLYN,40.66505114,-73.9812779
2015-12-31 0:12:37,2015-12-31 5:03:39,4:51,Residential Building/House,10463,BRONX,BRONX,40.87589494,-73.91247127
2015-12-31 0:14:13,2015-12-31 6:25:40,6:11,Store/Commercial,11372,JACKSON HEIGHTS,QUEENS,40.7555836,-73.88520105
2015-12-31 0:15:36,2015-12-31 2:58:09,2:42,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
2015-12-31 0:16:28,2015-12-31 0:59:23,0:42,Store/Commercial,10033,NEW YORK,MANHATTAN,40.84700716,-73.93819338
2015-12-31 0:18:04,2015-12-31 3:49:12,3:31,Store/Commercial,10034,NEW YORK,MANHATTAN,40.86597801,-73.91953085
2015-12-31 0:19:23,2015-12-31 2:18:42,1:59,Club/Bar/Restaurant,11375,FOREST HILLS,QUEENS,40.71924727,-73.84237049
2015-12-31 0:19:43,2015-12-31 0:29:37,0:09,Club/Bar/Restaurant,10027,NEW YORK,MANHATTAN,40.81453554,-73.95914444
2015-12-31 0:19:49,2015-12-31 5:04:42,4:44,Residential Building/House,10468,BRONX,BRONX,40.87303475,-73.90195294
2015-12-31 0:20:05,2015-12-31 1:40:22,1:20,Residential Building/House,11417,OZONE PARK,QUEENS,40.67771292,-73.83232708
2015-12-31 0:20:45,2015-12-31 4:51:45,4:31,Residential Building/House,11233,BROOKLYN,BROOKLYN,40.68532364,-73.92583881
2015-12-31 0:22:25,2015-12-31 16:24:02,16:01,Residential Building/House,11217,BROOKLYN,BROOKLYN,40.68423815,-73.98935266
2015-12-31 0:22:38,2015-12-31 6:06:17,5:43,Residential Building/House,11355,FLUSHING,QUEENS,40.75812391,-73.82884714
2015-12-31 0:23:23,2015-12-31 16:28:20,16:04,Residential Building/House,11234,BROOKLYN,BROOKLYN,40.63333681,-73.92071208
2015-12-31 0:25:43,2015-12-31 8:42:51,8:17,Residential Building/House,10452,BRONX,BRONX,40.8311959,-73.93034856
2015-12-31 0:26:25,2015-12-31 6:53:33,6:27,Residential Building/House,10468,BRONX,BRONX,40.86950167,-73.90443849
2015-12-31 0:28:24,2015-12-31 5:19:00,4:50,Club/Bar/Restaurant,10025,NEW YORK,MANHATTAN,40.80234631,-73.96810968
2015-12-31 0:31:09,2015-12-31 1:44:19,1:13,Club/Bar/Restaurant,11103,ASTORIA,QUEENS,40.76577062,-73.91898768
2015-12-31 0:31:20,2015-12-31 6:34:54,6:03,Residential Building/House,10458,BRONX,BRONX,40.86905269,-73.89030928
2015-12-31 0:31:59,2015-12-31 2:34:08,2:02,Residential Building/House,10021,NEW YORK,MANHATTAN,40.76872682,-73.95408581
2015-12-31 0:33:25,2015-12-31 1:13:26,0:40,Residential Building/House,11238,BROOKLYN,BROOKLYN,40.67900615,-73.97080414
